postcodeDistrict,catsPerHousehold,dogsPerHousehold,pre_1900,1900_1929,1930_1945,1945_1964,1965_1982,1983_1999,2000_present,unknown
B12,0.085244762,0.097760486,0.3592315391798488,0.1082451933212762,0.0083033108691746,0.0848712034447108,0.1967511330464339,0.1105630752982868,0.0872733834150519,0.0447611614252167
B13,0.104947225,0.120355684,0.1782608219611723,0.23075088930371618,0.1471506513050829,0.0846734987915114,0.1466080116280625,0.070230921618981,0.0670164309680328,0.0291217122554682
B14,0.153964707,0.176569962,0.1160538063149461,0.2146031682240333,0.1955314191099114,0.1128746855248166,0.2291908381405458,0.0383365318724469,0.0747594043522247,0.0186501464610749
B15,0.10834237,0.124249308,0.0951503945215463,0.0387032808428898,0.0412800759888018,0.1623877469837278,0.3631218409377932,0.0740878945597144,0.1789938459631317,0.0462749202023948
B16,0.100592352,0.115361424,0.1911251502076117,0.0504874850478779,0.0214421066764405,0.1543421302788256,0.3868803880799652,0.0491590697750202,0.0754553959351654,0.0248846830844777
B17,0.161067351,0.184715424,0.1590811039097023,0.23075088930371618,0.1791566161123123,0.1100217331358995,0.1670530699554995,0.0504511240233683,0.071336349467188,0.0212787645824644
B18,0.094166413,0.107992023,0.2558124864578304,0.1031567998035954,0.0053899982813519,0.0048133948945781,0.1957613236580913,0.0568245217638538,0.2507798289969627,0.0374396592813603
B19,0.033513893,0.038434437,0.2353473466179287,0.0444999588370521,0.0089538632454161,0.091099161409578,0.296159656078562,0.0918537298447558,0.1953082718853121,0.036778012081395
B2,0.12773665,0.146491076,0.0546107770793071,0.0674147673688124,0.0006735956597275,0.000675376349923,0.3868803880799652,0.0514007789661281,0.2507798289969627,0.0085169394550041
B20,0.042826451,0.049114275,0.2523395262144435,0.2165495467712307,0.1639641295061432,0.1255812262337593,0.1429846745152889,0.0438343102444993,0.023882715415489,0.0308638710991457
B21,0.050295624,0.057680079,0.426125020370643,0.23075088930371618,0.0678352590765454,0.0221593767672149,0.0964742691291582,0.0682407893234604,0.012533460774054,0.0159896395317877
B23,0.125224544,0.143610139,0.1715834430752983,0.23075088930371618,0.1183432852404286,0.0870952523827189,0.1379362424217342,0.1078806564635068,0.0656645128492631,0.0153748270670265
B24,0.149743808,0.171729347,0.0918640943539567,0.23075088930371618,0.1628759981221916,0.0834069516125575,0.1039650402114635,0.1183758925242262,0.073575763126765,0.0145804163342668
B25,0.161494219,0.185204966,0.2157397888108512,0.23075088930371618,0.1647772778828415,0.0414644246460826,0.1070163906164611,0.0443509521570745,0.0151227732333173,0.0117102345134524
B26,0.143429092,0.164487498,0.0309620010809833,0.1056269964773672,0.21720684660174883,0.2575032330010995,0.0948623682024374,0.0411024347095571,0.0362886796155901,0.0083223395483536
B27,0.301264176,0.345496091,0.1183590278301079,0.23075088930371618,0.1765756225091723,0.0699095367049658,0.0860680958692398,0.1036047035414891,0.0382725054435984,0.018310328905441
B28,0.202314854,0.232018928,0.0098076580761573,0.23075088930371618,0.21720684660174883,0.0539003022469732,0.0505865376981219,0.0447651892011276,0.0261605003861033,0.0210708565455812
B29,0.112884754,0.129458609,0.134736409141727,0.23075088930371618,0.1229969104748845,0.131797862567133,0.1055182396412564,0.0624579495650455,0.1290928415827555,0.0073387238492293
B3,0.083367874,0.09560803,0.0686854807615203,0.0593552696305764,0.0008869992770147,0.0008891745519694,0.1265699708511842,0.0558739798460426,0.2507798289969627,0.0129858659906683
B30,0.119464176,0.137004028,0.1836341316698389,0.23075088930371618,0.102195179541111,0.1290307622237165,0.1287870788340171,0.0821026900475104,0.0364253167678001,0.0398225433853314
B31,0.160655572,0.184243188,0.0185188218431624,0.1340917440850174,0.1807561302940775,0.2535858462317442,0.1642865879840599,0.1128974654517388,0.1278821709163143,0.0079812331938851
B32,0.135815188,0.155755713,0.0106664821150073,0.0429226655150532,0.21720684660174883,0.2633521946293891,0.2703014070124429,0.0451356179299864,0.02274531678883,0.0104957156441745
B33,0.141946571,0.162787311,0.0266744231938926,0.0717176629451981,0.21720684660174883,0.3076961770239968,0.1836004971989713,0.0683510439771389,0.0668164594128996,0.0051888343635594
B34,0.117742386,0.135029444,0.0012784917484379,0.0134684081135044,0.1676466932301305,0.3431908257510675,0.1629040293183315,0.0529114594428911,0.1101867635392206,0.001578146766314
B35,0.173241757,0.198677289,0.000210409482842,0.0136150859781203,0.0004108116231369,0.0723771901464083,0.3868803880799652,0.2049019252054112,0.1651256060732084,0.008000848451828
B36,0.136006762,0.155975414,0.0029681238405974,0.0155513195202915,0.1509572118161625,0.2280603057673276,0.3868803880799652,0.0725079467575794,0.049107692674279,0.0070023732893785
B37,0.248942921,0.285492976,0.0053243641585534,0.0224230851604903,0.0258941104361897,0.129534033483503,0.3868803880799652,0.0696624559068554,0.091585190178863,0.008367439968748
B38,0.151080875,0.173262724,0.0424578887280816,0.0516764165612953,0.1292367827875043,0.2205069496101382,0.3868803880799652,0.0619430359053986,0.0656678753788158,0.017549375096151
B4,0.054350549,0.062330352,0.043735836071559,0.044686317163433,0.0114936082111924,0.0317379083051233,0.2003723699162529,0.0403724648031066,0.2507798289969627,0.0183198959116379
B40,1.165093703,1.336153953,0.0476706392199349,0.1430119176598049,0.0595882990249187,0.1789831185695735,0.3045450004994506,0.0707175952605979,0.1714298886609344,0.0240535411047847
B42,0.134968266,0.154784444,0.0142695597919013,0.070932979633623,0.21720684660174883,0.100712928755335,0.0807888379664145,0.0283705346950943,0.0253648482242572,0.0071765264576783
B43,0.256355265,0.293993607,0.0065152572545111,0.0429883499626653,0.21720684660174883,0.3431908257510675,0.189203368315123,0.0239325206800781,0.051761943104411,0.0018426147245943
B44,0.195511907,0.224217165,0.0036816966176336,0.2259808564140388,0.21720684660174883,0.1236938344216775,0.0590736139000876,0.0379004978775147,0.0156162904848121,0.0112408938716125
B45,0.232416132,0.266539706,0.0249111872274699,0.0880109002572812,0.1749795825116246,0.1984389579006003,0.245219441269197,0.1147717673626365,0.1376918478801439,0.015976315591046
B46,0.664613501,0.762192735,0.1216762215053954,0.0563227075113021,0.0778170122941831,0.297639242809937,0.2256948494669561,0.1165637509962639,0.0705750244070706,0.0337111910088916
B47,0.576984401,0.661697842,0.0475153081061578,0.0794568646321015,0.1186129882017581,0.2487233794526842,0.2494609911613152,0.1660769811224708,0.0729713320553462,0.0171821552681658
B48,0.577957231,0.662813503,0.1445138830364597,0.0659122879856415,0.1512638534000817,0.2010310442924488,0.1317866903023019,0.1394992042811125,0.1363400099727257,0.0296530267292279
B49,0.519712763,0.596017522,0.2266413007808625,0.0335333963469381,0.0348628866485292,0.1790415073176925,0.2178375045201436,0.1975035309497873,0.0866731729586914,0.0239067004773551
B5,0.077484299,0.088860623,0.0605146648312908,0.0282635188340649,0.0219528352976686,0.0816441179847217,0.1616775814505364,0.056140661081213,0.2507798289969627,0.0362340897531653
B50,0.523992766,0.60092592,0.1498010457333748,0.0620059074693335,0.0319280944484035,0.1297207858441782,0.1589213881204529,0.2724070247887587,0.1797930583302351,0.0154226952652631
B6,0.035382792,0.040577729,0.1587472284297943,0.1037101016737164,0.0400097347768236,0.0425835384082807,0.3868803880799652,0.104784364125838,0.0447188925667355,0.0152530036652639
