stationReference,stationName,latitude,longitude,easting,northing
243679TP,Rainfall station,51.805204,0.20975,552450.5363275857,214149.3715505665
244027TP,Rainfall station,51.769108,0.016666,539250.5321716892,209749.3172904071
244569TP,Rainfall station,51.727077,-0.10539,530950.5803263849,204849.3207922797
245176TP,Rainfall station,51.588712,-0.112596,530850.5632577538,189449.43756253528
246424TP,Rainfall station,51.501145,-0.205547,524650.5508909911,179549.39677841213
246726TP,Rainfall station,51.610639,-0.312441,516950.55417707603,191549.4121509098
246847TP,Rainfall station,51.569374,-0.257694,520850.5714596359,187049.41243827998
247281TP,Rainfall station,51.67255,-0.366544,513050.5316669332,198349.36497621282
247344TP,Rainfall station,51.550032,-0.415648,509950.52002653165,184649.45381547994
247540TP,Rainfall station,51.479469,-0.451216,507650.53861928126,176749.49208449345
248332TP,Rainfall station,51.672207,-1.952948,403350.52059533837,197049.42174319352
249744TP,Rainfall station,51.568666,-1.811661,413150.5481112821,185549.42879959432
251530TP,Rainfall station,51.689762,-1.679516,422250.5386485832,199049.38980329857
251556TP,Rainfall station,51.826782,-1.862825,409550.5209928985,214249.28930720765
253340TP,Rainfall station,51.878717,-1.737736,418150.5226959483,220049.2507461995
253861TP,Rainfall station,51.794582,-1.562775,430250.53562039614,210749.35991463906
254336TP,Rainfall station,51.774757,-1.357157,444450.5403652332,208649.39412031087
254829TP,Rainfall station,51.938474,-1.573015,429450.5694991145,226749.25684288517
256230TP,Rainfall station,51.749085,-1.272057,450350.5357673762,205849.325059405
256345TP,Rainfall station,52.168732,-1.235988,452350.5138830488,252549.16512295644
257039TP,Rainfall station,52.072227,-1.333928,445750.5758787784,241749.24088068958
259110TP,Rainfall station,51.886777,-1.156503,458150.5447162287,221249.29056355348
260221TP,Rainfall station,51.63431,-1.505077,434350.5241435659,192949.3721216888
261021TP,Rainfall station,51.653876,-1.288038,449350.5248687404,195249.44320691476
261602TP,Rainfall station,51.772802,-0.689041,490550.55154720024,209049.28834006464
261923TP,Rainfall station,51.825767,-0.852925,479150.5663922645,214749.3790443764
263541TP,Rainfall station,51.741752,-1.120101,460850.5220598054,205149.31827761664
264254TP,Rainfall station,51.617635,-1.115281,461350.5091491279,191349.42345696563
264845TP,Rainfall station,51.532367,-1.135676,460050.5258013017,181849.4379292598
265038TP,Rainfall station,51.543602,-1.343114,445650.5382502858,182949.43586332296
265415TP,Rainfall station,51.465368,-1.197403,455850.5597357439,174349.4489727495
266474TP,Rainfall station,51.412945,-1.726028,419150.53531994665,168249.47602037634
