dateTime,stationReference,parameter,qualifier,unitName,value,latitude,longitude,easting,northing
2021-10-10 23:45:00+00:00,3085TH,level,Stage,mASD,2.196,51.302063,-0.543308,501647.5701225933,156889.54288707196
2021-10-10 23:45:00+00:00,2866TH,level,Stage,mASD,20.126,51.477931,-0.504592,503947.57556146046,176501.41352347628
2021-10-10 23:55:00+00:00,38_BRENT_RES,level,Stage,mASD,-1.078,51.570831,-0.245027,521724.53194554127,187232.43040387143
2023-10-20 12:00:00+00:00,E1839,level,Stage,mASD,1.723,53.208433,-0.108817,526400.5768244575,369598.73167288606
2023-10-20 16:30:00+00:00,E73139,level,Tidal Level,mAOD,-0.378,52.01322,-4.983750000000001,195337.51222826936,239181.3906917261
2023-10-20 20:30:00+00:00,E71939,level,Tidal Level,mAOD,0.318,50.714331,-1.874873,408930.528896092,90529.72733540092
2023-10-20 20:30:00+00:00,E71139,level,Tidal Level,mAOD,2.58,53.63018,-0.18742,519959.54638221057,416376.64615874586
2023-10-20 23:00:00+00:00,E5721,rainfall,Tipping Bucket Raingauge,mm,0.6,53.175194,-0.524002,498750.5614584074,365248.7579433864
2023-10-20 23:00:00+00:00,E5733,rainfall,Tipping Bucket Raingauge,mm,0.0,51.895742,0.451114,568750.5172794302,224749.2365487626
2023-10-20 23:00:00+00:00,E5723,rainfall,Tipping Bucket Raingauge,mm,0.1,53.093909,-0.172837,522450.5406607319,356748.87554335035
2023-10-20 23:00:00+00:00,E5728,rainfall,Tipping Bucket Raingauge,mm,0.2,52.651369,0.565622,573650.5435473606,309049.0305564408
2023-10-20 23:00:00+00:00,E5724,rainfall,Tipping Bucket Raingauge,mm,0.1,53.088074,0.270439,552150.5224427906,356948.7713527823
2023-10-20 23:00:00+00:00,E5729,rainfall,Tipping Bucket Raingauge,mm,0.0,52.949162,1.122162,609850.5700757673,343648.92243900703
2023-10-20 23:00:00+00:00,E5726,rainfall,Tipping Bucket Raingauge,mm,0.2,52.611622,-0.461792,504250.5591411496,302648.9703122589
2023-10-20 23:00:00+00:00,E5734,rainfall,Tipping Bucket Raingauge,mm,0.0,51.554554,0.826576,596050.5399193971,187749.39300842927
2023-10-20 23:00:00+00:00,E5727,rainfall,Tipping Bucket Raingauge,mm,0.1,52.872934,0.138821,544050.5603204138,332748.91550559626
2023-10-20 23:00:00+00:00,E5731,rainfall,Tipping Bucket Raingauge,mm,0.0,52.226854,-0.464875,504950.5612143215,259849.1272733883
2023-10-20 23:00:00+00:00,52150,rainfall,Tipping Bucket Raingauge,mm,0.0,51.128821,-3.323971,307450.5273596504,137449.6504472773
2023-10-20 23:00:00+00:00,E5732,rainfall,Tipping Bucket Raingauge,mm,0.0,52.124227,0.957474,602550.5396570814,251449.1841493402
