stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,easting,northing
3235TH,Bonehurst Bridge,51.186743,-0.163694,4.465,1.21,3.7,1.398,528430.553654379,144659.58351476636
3240TH,Kinnersley Manor,51.201071,-0.194473,3.501,0.043,2.14,0.123,526240.5213211919,146199.568523557
3245TH,Redhill,51.239844,-0.166451,2.461,-0.053,2.0,0.493,528090.5689307264,150559.54873155963
3247TH,Salfords Bridge,51.204792,-0.1677,3.05,-0.044,2.4,0.183,528100.5790512749,146659.62293426794
3269TH,Brockham FWS,51.233732,-0.288379,2.066,0.05,1.25,0.151,519595.5759179422,149674.5385896963
3270TH,Dorking,51.238425,-0.311198,2.735,0.026,1.6,0.091,517990.54263592866,150159.5423900832
3280TH,Leatherhead,51.294985,-0.336089,3.735,0.632,2.61,1.006,516110.5280909837,156409.48360402428
3286TH,Downside Bridge,51.323836,-0.41269,3.46,0.877,2.7,1.012,510700.5490671506,159499.56312029247
3290TH,Esher,51.381714,-0.377493,3.24,0.526,4.32,1.272,513010.57675486756,165989.46302542053
3345TH,Bourne Hall Ponds at Ewell,51.350352,-0.250864,2.066,0.05,1.25,0.151,521905.57670128625,162704.52436230908
3346TH,King Charles Road FWS,51.386523,-0.291294,2.066,0.05,1.25,0.151,518996.51690142887,166660.49970048512
3350TH,Ewell,51.355767,-0.255182,0.802,0.011,1.035,0.026,521590.5697824617,163299.52482164575
3369TH,Worcester Road,51.375687,-0.264339,2.087,0.8320000000000001,3.0,0.892,520900.573129169,165499.55841575566
3390TH,Kingston Hogsmill,51.405736,-0.302166,1.225,0.024,0.9,0.106,518190.55680198857,168779.485252429
3401TH,Teddington Lock,51.429566,-0.318416,1.197,-0.3,0.217,0.009,516999.5443077511,171403.43275590352
3422SO,Whitchurch Main,51.22819,-1.338347,0.411,0.001,0.35,0.02,446297.5179800571,147874.56430359455
3423SO,Whitchurch Side,51.229107,-1.338319,0.425,0.001,0.4,0.02,446298.5552369503,147976.56131079997
3609TH,"Harrow, Village Way",51.57755,-0.380271,1.263,-0.02,1.185,0.064,512335.5298713971,187763.3839430346
3625TH,"Hillingdon, Gutteridge Wood",51.547719,-0.420185,2.013,-0.004,2.3,0.078,509641.51198182633,184385.4268156675
3626TH,"Harrow, Thistledene Avenue",51.561936,-0.379325,1.431,-0.157,1.1,0.012,512439.5582845131,186028.43673215748
3629TH,"Northholt, Yeading East",51.548783,-0.397836,0.792,-0.037,0.65,0.033,511188.51609170093,184537.45191821243
3635TH,"Hillingdon, Charville Lane",51.541775,-0.418198,2.363,0.11,2.55,0.162,509793.5752145001,183727.3840877126
3650TH,"Yeading, Brookside Road",51.518702,-0.391757,1.364,0.094,2.34,0.115,511683.52676177584,181201.4710544681
3660TH,Cranford Park,51.488753,-0.412558,1.261,0.028,1.1,0.056,510312.57284472714,177839.42101729763
3680TH,Marsh Farm,51.448604,-0.339937,0.956,-0.017,1.55,0.018,515455.53781947703,173486.44201911322
3695TH,Mogden GS,51.463986,-0.340257,2.066,0.05,1.25,0.151,515394.5419397708,175196.4993991949
3697TH,Crane Gates,51.465414,-0.322425,2.066,0.05,1.25,0.151,516629.56714512606,175383.52180196374
3803TH,Bury Farm FSA FD,51.627195,-0.287063,2.066,0.05,1.25,0.151,518664.5629246552,193431.44013651533
3804TH,Whetstone,51.623491,-0.185411,1.07,0.251,2.0,0.259,525710.5225959916,193189.35867908463
3806TH,North Finchley,51.614894,-0.189437,2.061,0.163,1.5,0.22,525455.5332530364,192226.40633762494
3815TH,Hampstead Suburb,51.584844,-0.180888,1.844,0.772,2.391,0.799,526130.5629070177,188899.37116848578
3820TH,Brent Cross,51.577539,-0.217549,1.379,0.056,1.135,0.075,523610.56412501103,188024.45563309127
3822TH,"Edgware, Deans Brook",51.617793,-0.26653,1.623,0.768,2.2,0.8170000000000001,520110.54113192443,192419.38337545906
3823TH,"Stanmore, Wolverton Road",51.610531,-0.313052,1.348,0.024,1.0,0.049,516908.5259024486,191536.42511102703
3826TH,Edgware Hospital,51.607093,-0.271414,2.121,0.243,2.68,0.61,519800.5720714111,191221.45756226146
3829TH,Colindale,51.591209,-0.244516,2.426,0.073,1.25,0.099,521705.5358649734,189499.4425245687
3838TH,Kenton Lane,51.587068,-0.307266,2.092,-0.43,0.75,0.112,517369.567478039,188936.4270763852
3839TH,Wembley,51.562196,-0.27948,1.67,-0.003,2.22,0.066,519359.5331834013,186215.42610577363
3850TH,"Brent, Monks Park",51.551558,-0.267837,2.564,0.018,1.8,0.049,520194.5620143668,185051.46322294438
3870TH,"Greenford, Costons Lane",51.527366,-0.344873,1.752,0.102,1.105,0.127,514914.5492223777,182237.48781536464
3880TH,Hanwell,51.508638,-0.342569,2.725,0.771,3.489,0.842,515121.5368040343,180158.4300567085
3892TH,Brentford,51.48248,-0.312323,1.981,0.05,1.25,0.151,517287.51977542863,177297.4734274995
38_BRENT_RES,Brent Reservoir,51.570831,-0.245027,2.066,0.05,1.25,0.151,521724.53194554127,187232.43040387143
4001,Yorkshire Bridge,53.362304,-1.703631,2.8040000000000003,0.01,1.6,0.302,419820.52567660203,385088.73195635696
4002,Hamstall Ridware,52.770034,-1.840172,1.298,0.069,0.8,0.101,410880.52121595456,319171.9664564353
4003,Water Orton,52.52039,-1.751178,3.429,0.079,1.436,0.27,416980.5547284324,291419.0734988567
4006,Great Haywood,52.805262,-2.011076,3.283,0.6920000000000001,1.502,0.803,399350.52318006696,323078.8906439714
4007,Shardlow,52.865431,-1.335368,3.455,0.317,1.7000000000000002,0.413,444840.53543167445,329978.873667249
4008,Rocester,52.95455,-1.833986,2.091,0.076,0.671,0.167,411250.5439486399,339698.8994213783
4009,Colwick,52.952707,-1.07772,5.496,0.758,3.6,1.014,462060.52809091064,339878.84225726215
4011,Matlock,53.124099,-1.557929,5.181,0.071,2.5,0.285,429680.53768274974,358638.8413033506
4012,Kings Bromley,52.75692,-1.805399,2.678,0.086,1.521,0.583,413230.5362238259,317718.92858917144
4014,Milford,52.791503,-2.038506,2.866,0.005,1.986,0.3,397500.5342168633,321548.9665207233
4015,Mattersey,53.397737,-0.964956,2.807,0.294,2.7,0.548,468920.5714030418,389488.690092819
4018,Marston on Dove,52.855534,-1.648727,2.698,0.026,1.75,0.492,423750.55320068065,328728.8911630882
4019,Drakelow,52.780647,-1.647106,3.797,0.812,2.038,1.018,423900.55320964294,320398.916502026
4022,North Muskham,53.131855,-0.803653,3.953,0.614,3.3,0.798,480140.56333746423,360078.7783660364
4023,Ashford in the Water,53.223665,-1.727504,1.5630000000000002,0.221,0.75,0.267,418290.55339770904,369658.7922578276
4024,Syston,52.706226,-1.091508,3.834,1.298,2.773,1.427,461480.55397903547,312448.9604706029
