stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,easting,northing
E14722,Burnt House,50.664649,-1.176646,1.57,0.014,1.57,0.04,458287.5364191642,85320.78616761837
E14741,Atherfield,50.61912,-1.353938,1.52,0.06,1.52,0.1,445801.52379881,80133.78169744999
E14811,Carisbrook Mill,50.695451,-1.305261,0.81,0.006,0.38,0.025,449165.544951555,88652.83525161368
E14821,Budbridge,50.649055,-1.249848,1.34,0.02,0.6900000000000001,0.05,453131.53946851165,83531.8248480305
E1502,Market Rasen,53.38885,-0.330909,1.392,0.0,0.898,0.063,511100.5642594207,389298.7407694152
E15060,Monkton Mead,50.729406,-1.152672,2.65,0.177,1.9,0.02,459899.5107571803,92540.79089665784
E1521,Duston Mill,52.227978,-0.934098,1.329,0.0,0.949,0.46,472900.52034813527,259399.16643029472
E15230,Westerham,51.266809,0.065457,103.274,102.723,0.8130000000000001,0.03,544193.5492413299,153987.5431049633
E15240,Otford,51.304292,0.18632,1.102,0.033,0.8,0.072,552500.5769061038,158399.57034301935
E15250,Hawley,51.423959,0.230865,0.637,0.0,0.4,0.018,555200.5256605771,171799.44502914458
E15260,Crayford,51.450401,0.173287,1.32,0.033,0.9,0.076,551110.5318911246,174619.41985209894
E15280,Lamorbey Park,51.440152,0.113674,2.326,0.0,1.0,0.278,547001.5525063797,173358.52119157522
E1530,Summerford Bridge,51.107299,0.139866,3.756,38.981,2.7,0.019,549900.5208871622,136399.61894902412
E1533,Fotheringhay,52.526819,-0.428685,1.944,0.0,0.501,0.117,506697.5466495279,293265.00122794684
E15350,Hall Place,51.445998,0.158543,1.348,0.0,0.75,0.03,550100.5626845356,174099.51888599194
E1541,Chafford,51.144544,0.168468,3.531,-0.003,2.5,0.147,551780.5722921774,140599.59549089012
E1550,Town Lock,51.194615,0.278452,3.457,0.0,1.66,0.882,559300.5580875037,146399.62363502145
E1560,Forest Row,51.095381,0.052195,2.262,0.0,1.82,0.04,543800.5189284957,134899.61653352273
E1594,Bracebridge,53.202079,-0.553771,2.091,0.0,1.84,0.297,496700.5331403271,368198.79387935874
E1608,Brayford Pool,53.229862,-0.546842,1.318,0.0,0.788,0.23,497100.5595502303,371298.72466121166
E16120,LUCIFER BRIDGE GS,51.195997,0.254903,2.066,0.05,1.25,0.151,557650.5688389424,146502.54904122034
E1633,Brigstock,52.45855,-0.611724,3.04,0.026,0.99,0.048,494426.5183780669,285417.1135500066
E1660,Geldharts Mill,52.271031,-0.922807,1.863,0.0,1.39,0.137,473600.5244312275,264199.176711687
E1662,Donington Bridge,52.90501,-0.255888,3.353,0.0,2.59,0.081,517400.5242718639,335598.8707407689
E1672,Fosdyke Jetty,53.23087,-0.555797,2.361,0.0,1.9,1.272,496500.5549504222,371398.7471434329
E1675,Wainfleet,53.10346,0.23181,2.12,0.12,1.6,0.0,549510.5494613716,358578.76425876317
E1696,River Freshney Grimsby,53.574576,-0.108253,1.11,0.016,0.78,0.189,525358.5560341888,410327.6233444501
E1727,Horseshoe Bridge,53.113634,-0.600069,3.406,0.0,1.99,0.215,493800.54231395206,358298.78093763284
E1742,Laceby,53.546656,-0.159656,1.443,0.0,0.545,0.02,522035.5521757498,407132.6342024861
E1780,North Hykeham,53.176218,-0.5711,2.431,0.0,2.11,0.159,495600.5229767854,365298.7901135324
E1782,Litte Bowden Flood Storage Reservoir,52.470494,-0.909111,2.39,0.0,1.39,0.04,474200.5620454189,286399.04075711215
E1788,Partney,53.187011,0.096794,1.18,0.0,0.6000000000000001,0.017,540200.566052985,367598.7699824818
E1835,Squires Bridge,53.329892,-0.644055,4.344,0.0,2.87,0.836,490400.53756522015,382298.7849685991
E1839,Horncastle Banks Road,53.208433,-0.108817,1.968,0.0,0.7000000000000001,0.032,526400.5768244575,369598.73167288606
E1880,Yalding Hamstead Lock,51.227207,0.414329,5.754,0.88,3.42,1.517,568674.5439020708,150326.61280507332
E1890,Lamberhurst,51.1015,0.392574,3.36,0.0,2.19,0.014,567610.5728751414,136299.61230747474
E19023,Biggleswade,52.085111,-0.267906,1.136,0.083,0.476,0.13,518779.5561025316,244388.16977003386
E19027,Alconbury Weston,52.377001,-0.269421,4.038,0.095,2.2,0.188,517900.5446689782,276849.0838532832
E19031,Comberton,52.175048,0.01962,2.531,0.02,0.838,0.088,538200.5241390804,254899.13873981131
E19035,Bin Brook,52.197227,0.087527,2.12,0.007,1.0,0.057,542772.5535711283,257497.18358657713
E1946,Kislingbury,52.231962,-0.97793,2.16,0.0,1.89,0.043,469900.5272282773,259799.17909475535
E2043,Surfleet Sluice,52.845991,-0.100848,1.77,0.15,0.895,0.15,528000.5411710197,329298.87576201884
E2062,Islip Sluice,52.401841,-0.5448,3.24,0.469,1.845,0.675,499100.5490198364,279199.11421957397
E2097,Market Harborough,52.476009,-0.922226,2.03,0.0,0.96,0.017,473300.5442491917,286999.10571521387
E21034,Castle Mill,52.145596,-0.405558,0.913,0.123,0.264,0.192,509200.5342013992,250899.15594479165
E2105,Wansford,52.584341,-0.404444,2.941,0.0,1.38,0.177,508200.51759511064,299698.9825520412
E21136,Hemingford,52.323618,-0.101287,1.212,0.024,0.32,0.141,529500.5138466223,271199.1021372561
E21163,Houghton,52.330674,-0.120798,0.964,0.008,0.452,0.256,528150.5195216314,271949.14875353314
E2119,Cogenhoe,52.246264,-0.779863,1.237,0.0,0.605,0.273,483400.5166140638,261599.11331573362
E2125,Lilford,52.442977,-0.492641,2.32,0.03,1.3,0.286,502553.5443403058,283847.124876311
E21270,Turvey,52.160107,-0.63018,1.756,0.039,0.717,0.215,493800.53362861637,252199.15605937745
E21324,Covington,52.314257,-0.444982,2.4130000000000003,0.05,0.7000000000000001,0.105,506100.5487329913,269599.1403647014
E21325,Olney,52.147499,-0.708027,1.169,0.015,0.372,0.075,488500.54688936775,250699.1882352719
E2141,Tixover,52.587333,-0.568186,2.92,0.0,2.35,0.154,497100.5675893947,299798.9921801076
E21493,Passenham,52.049192,-0.852318,3.27,2.028,2.362,2.07,478800.54043640144,239599.27898789957
E21609,Bedford,52.133733,-0.460042,1.417,0.154,0.524,0.252,505500.5567731153,249499.246805984
E21732,Cambridge Byron's Pool,52.171412,0.099158,1.63,0.06,0.645,0.479,543650.5252296221,254649.22039354462
E21747,Earith,52.354128,0.03732,3.145,0.088,2.55,0.584,538850.5233947248,274849.11656921875
E21788,Hamerton,52.428112,-0.3542,3.6,0.983,2.2,1.015,512000.51256704924,282399.0679347917
E21836,Corpusty,52.830878,1.126258,0.704,0.107,0.8200000000000001,0.025,610698.5188884701,330507.9630923931
E21838,Little Ouse,52.453082,0.545246,2.6,1.385,2.105,1.64,573050.5537358357,286949.02955899824
E21852,Boxford,52.028438,0.858403,2.231,1.13,1.77,0.065,596189.5189281633,240526.19673520606
E21856,Bures Bridge,51.972195,0.774544,2.045,0.081,1.43,-0.002,590676.5268564206,234049.23025329344
E21862,Hail Weston,52.253951,-0.309376,3.445,1.075,1.299,0.096,515500.56135046453,263099.1526164411
E21968,Webbs Hole Sluice,52.320879,-0.002271,3.1,0.092,1.215,0.215,536256.5145087125,271076.12235264364
E22006,Low Street,52.612011,1.01713,1.883,0.081,1.3,0.168,604369.563684358,305855.97106916027
E22008,Stone Road Farm,52.669401,0.995655,1.738,-0.035,1.82,0.0,602650.5389957841,312176.9866750652
E22022,Shalford,51.938949,0.502982,2.642,0.306,2.45,0.325,572153.5662628949,229675.27678767123
E22078,Wendling Beck,52.681119,0.893649,1.682,0.087,1.8,0.0,595702.5347349175,313198.0269910158
E22088,Haversham,52.073044,-0.805148,2.956,0.024,1.432,0.132,481991.539647683,242304.2684308857
E22137,Wimpole,52.118971,-0.054461,1.662,0.043,0.344,0.063,533302.5328823031,248524.15966410574
E22176,Sicklesmere,52.212963,0.746693,1.786,0.202,1.3,0.229,587750.5149967098,260749.1773792224
E2223,St Andrews Mill,52.244802,-0.905866,2.04,-0.09,1.26,0.068,474800.5275335658,261299.1524836409
E22377,Milton Keynes,52.06301,-0.710466,2.231,0.06,1.281,0.119,488500.5559469116,241299.2485726352
E2261,Stilebridge,51.202357,0.515045,3.734,-0.099,3.48,0.114,575800.5725065268,147799.5225465525
E2270,Smarden,51.148275,0.682267,4.162,0.0,3.06,0.278,587700.5709268214,142199.57226006957
E2273,Barford Bridge,52.43909,-0.734823,1.956,0.0,1.6,0.018,486100.54284377565,283099.0618488485
E2285,Dodford,52.240918,-1.083171,1.72,0.0,1.25,0.025,462700.5229377136,260699.21285759192
E2296,Ashley,52.515233,-0.794532,2.95,0.0,2.1,0.028,481900.5223926019,291498.99691610126
E23527,Ely,52.399868,0.289328,1.39,0.003,0.9,0.432,555850.5195942527,280449.12335724366
E23726,Brackley,52.031808,-1.132641,2.952,0.014,1.492,0.119,459600.54594255425,237399.25904336487
E23740,Setchey Bridge,52.694217,0.419367,1.813,0.027,1.076,0.249,563598.5300245974,313472.0058082213
E23956,Ousden,52.206315,0.520869,2.241,0.0,1.7000000000000002,0.397,572350.5666539478,259449.17180020473
E24255,Brownshill,52.335738,0.008586,2.182,0.081,0.918,0.298,536950.5529850781,272749.14673339005
E24267,St Ives,52.317315,-0.072946,1.519,-0.118,0.355,0.136,531450.5276766557,270549.151637811
E24302,Godmanchester,52.318507,-0.176335,1.285,0.083,0.488,0.305,524400.513417118,270499.1496681098
E24317,Eaton Socon,52.21309,-0.281653,0.737,0.006,0.097,0.038,517500.57527257764,258599.18780325845
E24319,Thetford Coffee Mill Sluice,52.415589,0.734272,1.035,0.083,0.707,0.59,586050.5679640997,283249.12934576697
E24367,Offord,52.27627,-0.223832,1.484,0.083,0.656,0.332,521278.5531052049,265721.122570008
E24451,Sharnbrook,52.219934,-0.521475,2.152,0.071,0.836,0.159,501100.52940546937,258999.11247733477
E24795,Debenham,52.232016,1.183613,1.532,-0.091,1.46,0.08,617500.5593630556,264089.1722347245
E24805,Bourn Brook,52.192643,-0.064443,3.081,0.029,0.496,0.222,532400.5326688138,256699.20420707
E24806,Bourton Grounds,51.991569,-0.939719,2.454,0.045,0.726,0.105,472900.55723713804,233099.2872477622
E24807,Reedham,52.559314,1.570041,2.34,-0.7000000000000001,2.03,-0.45,642082.5427126425,301708.05358189234
E24814,Diss,52.371419,1.099743,1.599,-0.14,0.95,0.0,611110.5236546893,279341.093796306
E24815,Framlingham,52.230723,1.344041,2.066,0.05,1.25,0.151,628459.5254267972,264439.0917145994
E24819,Huntingfield,52.318638,1.425054,2.688,0.758,2.7,0.0,633527.5553690548,274472.1441309422
E24821,Kings Ripton,52.373829,-0.149082,1.921,0.005,0.95,0.071,526100.5576636737,276699.10105121095
E24829,Riseley,52.249147,-0.485347,2.179,0.587,0.7000000000000001,0.12,503500.52357441833,262299.1601964382
E24830,Saxmundham,52.217851,1.492103,2.94,0.891,1.76,0.0,638636.5518154738,263485.1945013181
E24899,Mountnessing,51.648181,0.346098,2.747,0.182,0.432,0.081,562411.5541851405,196982.33730707093
E25055,Buckingham,51.998052,-0.992004,2.163,0.065,0.525,0.128,469300.5302981572,233769.2917652938
E2608,Market Deeping,52.671948,-0.303639,0.66,-0.45,0.188,0.038,514800.53417523217,309598.9322829054
E2613,Deeping St James,52.666216,-0.280199,1.86,0.0,1.152,0.944,516400.57809805,308998.9614294619
E2647,Hudds Mill,52.654318,-0.461033,1.5779999999999998,-6.1,0.344,0.0,504200.56378317636,307399.0402689979
E2655,"Old Mill Bridge, Lowick",52.408276,-0.556349,3.03,0.0,1.3,0.089,498300.57401532435,279899.09785060375
E2694,Little Bytham,52.748345,-0.50217,0.798,0.0,0.49,0.01,501200.5173255753,317798.97683248034
E2710,Manthorpe,52.731094,-0.419825,1.7000000000000002,0.0,0.89,0.31,506800.55070746964,315999.0068165455
E2734,Fosters Bridge,52.616269,-0.582013,1.832,0.0,1.09,0.042,496100.57701359777,302999.0007012231
E27675,Wardropers,51.644879,0.396505,2.344,-0.6980000000000001,2.056,0.0,565910.5506113245,196728.38942365904
E2790,Brigg,53.550068,-0.501979,2.61,0.0,2.37,0.482,499347.52097925934,406980.6798459132
E2814,Lincoln Monson Street,53.221702,-0.541127,3.19,0.0,2.96,0.115,497500.54531304695,370398.7790772893
E2846,Bishopbridge,53.406624,-0.44906,2.229,0.0,0.97,0.041,503200.5203003676,391098.6934448243
E2862,Saltersford,52.890978,-0.62509,1.078,0.0,0.74,0.108,492600.54335884406,333498.91825637064
E2896,Irnham,52.833221,-0.460655,1.954,0.0,1.01,0.025,503800.5755764595,327298.883587065
E2901,Claypole,53.022669,-0.746145,0.868,0.0,0.6900000000000001,0.11,484200.52538145264,347998.8346805597
E2902,Fiskerton Sluice,53.226658,-0.368683,1.624,-1.42,0.9,0.088,509000.5430497817,371198.7494546517
E29202,Hardham,50.949713,-0.529578,2.89,0.0,2.25,0.207,503387.5633491677,117726.69987619028
E3003,Kates Bridge,52.720446,-0.363945,1.479,0.0,0.74,0.057,510600.5666973407,314898.9356204811
E3401,Littlebourne,51.273987,1.168823,0.755,0.0,0.53,0.015,621121.572275143,157529.54641593146
E3951,Horton weir,51.257785,1.030079,1.239,0.009,0.75,0.151,611520.5720565205,155319.54639096005
E3966,Vauxhall Bridge,51.296693,1.105983,1.357,0.0,1.2,0.106,616632.5600906553,159866.55890998626
E40411,Bardney,53.213749,-0.345212,3.675,0.0,2.58,0.268,510600.5144560931,369798.79534127534
E4060,Bekesbourne,51.258144,1.145929,2.08,0.0,1.42,0.038,619600.5776221828,155699.48888761853
E40684,Brandy Wharf,53.460884,-0.474196,2.47,0.0,1.35,0.019,501400.5402140824,397098.6512112356
E41647,Nene Valley,52.236777,-0.839447,1.64,0.03,0.95,0.0,479349.5213576867,260477.10750581833
E42124,South Bridge,52.230338,-0.897436,3.4,1.0,2.0,1.13,475400.5512656827,259699.10884235732
E4225,Hougham,52.986895,-0.680145,3.963,0.0,1.69,0.708,488700.5254550552,344098.8659982516
E427,Allington Lock,51.295161,0.507204,1.624,3.337,0.5,0.07,574900.5387817442,158099.57250307137
E4321,Hothfield Upstream,51.157688,0.815185,3.9,0.0,2.34,0.066,596955.538206392,143593.62679593082
E4330,Chart Leacon,51.145063,0.846976,1.77,0.065,0.61,0.103,599232.5760249859,142275.57190313638
E4341,Wye,51.184588,0.930529,1.803,0.01,1.0,0.106,604900.5360558667,146899.5198328334
E4351,Aldington Upstream,51.105167,0.948046,4.891,0.0,4.38,0.008,606478.5833009193,138118.57072467284
E4370,Brown Mill,51.171609,0.799508,1.921,0.0,0.75,0.077,595800.5212579753,145099.5318369606
E4402,White Water Dyke,51.121217,0.85627,1.375,0.0,1.16,0.012,599985.5251540153,139649.57621055772
E4403,Chapel Hill,53.070452,-0.196967,3.217,0.0,1.333,0.386,520900.51706394367,354098.7875559187
E4405,Cranwell Line Sluice,53.00001,-0.427906,0.733,0.0,0.71,0.04,505600.55470699247,345898.9101196845
E4411,Slea Tilting Gate,52.998853,-0.408576,0.581,0.0,0.5,0.244,506900.5555069476,345798.8149097031
E4412,Aylesford Stream,51.133674,0.880127,2.957,0.0,1.569,0.892,601600.5600738539,141099.64192874092
E4413,New York,53.081293,-0.140778,1.539,0.0,1.1,0.094,524633.531561963,355400.821094217
E4420,SOUTH WILLESBOROUGH GS,51.130148,0.878664,2.066,0.05,1.25,0.151,601513.5681352883,140703.61449088674
E4427,Wootton Park,52.212737,-0.938853,2.066,0.0,1.1,0.061,472600.5630354074,257699.21297808777
E4482,Castle Bytham,52.755941,-0.534509,1.499,0.0,0.99,0.01,499000.56371768715,318598.9534742305
E4483,Billingborough Ousemere,52.89634,-0.340975,1.763,-0.75,1.1,0.081,511700.57019452384,334498.93461407674
E4485,Swaton,52.922105,-0.319165,2.626,0.0,1.45,0.15,513100.55314173404,337398.8900315537
E46059,Rattlesden,52.192763,0.889367,1.612,0.01,0.3,0.0,597585.5426611012,258882.11336244977
E47041,Oakington,52.255096,0.055885,1.703,0.067,0.8,0.06,540427.5716039088,263871.1487122126
E47050,Girton,52.243719,0.07758,2.386,0.749,0.931,0.777,541944.5546464516,262648.12967966526
E47061,Dowsby Fen,52.849491,-0.275979,3.7,0.0,2.5700000000000003,0.0,516197.5602826781,329390.9197593113
E47251,Ruskington Beck,53.048222,-0.396166,0.934,0.17,0.7000000000000001,0.0,507610.5384223299,351308.84774236346
E4803,Billinghay,53.077892,-0.274288,2.7,0.0,2.24,0.121,515700.52529175096,354798.8236167644
E4823,Great Easton Flood Storage Reservoir,52.529248,-0.758769,5.04,0.0,1.79,0.237,484300.51567500475,293098.9889116934
E4826,Little Bridge,52.568529,-0.123188,2.8,0.0,1.35,0.049,527300.5168864899,298399.0036637636
E4828,Medbourne Flood Storage Reservoir,52.546177,-0.832027,11.5,0.0,3.5700000000000003,0.22,479300.5104169827,294899.09091197955
E4832,Weedon,52.229209,-1.080484,1.54,-0.04,1.35,0.0,462900.5140389397,259399.1795774619
E4976,Revesby,53.125717,-0.052667,2.33,0.0,1.78,0.093,530400.5134413734,360498.82450044574
E5080,Crabble Mill,51.140192,1.287219,0.585,0.041,0.5,0.094,630043.5533232071,143018.56551934298
E5320,Toynton Fenside,53.144479,0.086945,2.75,0.0,2.07,0.129,539680.5166115857,362848.8038860668
E560,Hartlake Bridge,51.201686,0.330336,2.066,0.05,1.25,0.151,562900.5339060798,147299.5156887864
E581,Allington Marina,51.291026,0.511282,1.084,0.0,0.5,0.093,575200.5539326506,157649.52497637543
E5852,Udiam,50.991816,0.524378,3.358,0.029,2.3,0.07,577255.5586825758,124412.6312280588
E60101,Cambridge Baits Bite,52.236542,0.176925,0.75,0.009,0.294,0.218,548750.5607954238,262049.1152119618
E60201,Barton Mills Sluice,52.335121,0.531859,0.738,0.069,0.279,0.21,572600.5202748307,273799.0979298846
E603,Hadlow,51.222555,0.334684,2.452,0.03,1.55,0.173,563130.5280661506,149629.60771719538
E60501,Cambridge Jesus Lock,52.212835,0.120872,1.28,0.02,0.74,0.637,545000.5293427736,259299.11182484747
E60701,Stony Stratford,52.053714,-0.855119,1.16,0.18,0.304,0.151,478600.5406788165,240099.19375788906
E60901,Thornborough,52.011485,-0.9309,1.241,0.148,0.624,0.318,473473.5265638257,235323.23912607817
E61101,St Neots,52.242947,-0.263656,1.845,0.325,1.1,0.8240000000000001,518650.54537830164,261949.11475092324
E61201,Brampton Sluice,52.319854,-0.205625,0.952,0.009,0.301,0.075,522400.51873375033,270599.06918517326
E6140,Hundred House Bridge,50.950221,0.630976,1.881,0.0,0.457,0.0,584900.5299260027,120049.64111889983
E61901,Towcester,52.135918,-0.996201,1.6,0.045,0.85,0.224,468800.54177105485,249099.21089972227
E6380,SCOTS FLOAT SLUICE RL,50.989632,0.75505,2.066,0.05,1.25,0.151,593450.5615022253,124749.62324370568
E6381,SCOTS FLOAT SLUICE RL,50.989632,0.75505,2.066,0.05,1.25,0.151,593450.5615022253,124749.62324370568
E642,Teston,51.250834,0.447181,3.898,-0.059,2.5,0.259,570880.5646277824,153029.5914173903
E651,Colliers Land Bridge,51.150722,0.174763,4.535,0.0,2.85,0.249,552200.5489415941,141299.5448895222
E6520,Winchelsea Strand Bridge,50.923434,0.72054,3.732,-0.083,3.5,0.188,591300.5658519188,117299.73179354426
E65501,Marsh Road Sluice,52.799742,-0.132532,2.58,0.0,1.452,0.954,526000.5227687301,324098.88398308615
E6600,Burwash,50.990993,0.390419,2.49,-0.095,1.93,0.024,567858.5382517002,124007.68815706563
E6621,CROWHURST WEIR,51.01189,0.398508,2.066,0.05,1.25,0.151,568350.5382656738,126349.60176184673
E6642,Browns Bridge,50.981447,0.468833,1.66,0.0,1.4,0.062,573396.5727572497,123127.71012253294
E670,East Farleigh Gate Upstream,51.254622,0.485076,4.022,0.0,1.71,1.155,573510.5727343141,153539.5844272771
E7050,Crowhurst,50.878052,0.500069,2.066,0.05,1.25,0.151,575978.5472642342,111705.73636902348
E7061,HAMMERWOOD BRIDGE GS,50.90222,0.393649,2.066,0.05,1.25,0.151,568405.5607982058,114144.72209436409
E7071,HENLEY BRIDGE GS,50.899199,0.375972,2.066,0.05,1.25,0.151,567173.5651343871,113768.66625481153
E7083,COOMBE BRIDGE GS,50.896388,0.412165,2.066,0.05,1.25,0.151,569728.5499305667,113538.68082554259
E7091,TILLEY BRIDGE GS,50.89145,0.361642,2.066,0.05,1.25,0.151,566193.5737083858,112874.74621828533
E714,Hendal Bridge,51.108316,0.172486,2.352,0.024,1.25,0.127,552180.5574900012,136579.60473471542
E7842,Cowbeech,50.912658,0.290758,1.84,0.0,0.269,0.028,561135.5688201808,115075.69471074079
E8001,Leabridge,50.895273,0.24023,2.5700000000000003,0.0,0.438,0.08,557642.5285037962,113033.64578072033
E8190,Buxted,50.989456,0.127659,2.998,-0.072,2.208,0.0,549424.5656733876,123271.64882657363
E8210,Freshfield Bridge,51.002867,-0.027718,2.625,0.0,2.0,0.01,538480.576739491,124459.62834423571
E8221,Goldbridge,50.975187,0.034071,2.696,0.021,1.75,0.242,542900.5233036574,121499.6456150148
E8241,ARDINGLY SHELLBROOK GS,51.041711,-0.097823,2.066,0.05,1.25,0.151,533450.5793305717,128649.60173533074
E8266,Ardingly,51.038451,-0.100268,1.893,0.3,1.053,0.061,533288.5311255595,128282.68294115431
E8293,Isfield weir,50.951995,0.074349,2.902,-0.027,1.5,0.052,545800.5697706925,118999.67364514498
E8340,Lindfield Bridge,51.021082,-0.073715,2.254,0.0,1.9,0.475,535200.5366865799,126399.68391355842
E8350,Scrasebridge,51.006255,-0.079888,2.002,0.0,1.44,0.032,534810.5702369798,124739.70627473643
E8360,Uckfield Mill upstream,50.968752,0.097884,1.49,0.0,1.3,0.3,547400.5327922369,120909.65460107346
E8560,BUILDER CENTRE GRILL,51.007923,-0.096141,2.066,0.05,1.25,0.151,533665.564175267,124895.59935830614
E861,Bartley Mill,51.097082,0.330342,2.318,0.039,1.2,0.121,563269.5202436806,135668.5710872484
E8654,Barcombe Gates,50.91492,0.038854,6.6,5.02,5.7,5.25,543421.516145942,114807.73901004362
E9130,Sakeham Weir,50.957409,-0.265959,2.904,0.053,1.35,0.162,521884.52718672424,118984.62956720627
E9140,Beeding Bridge,50.882836,-0.306828,3.35,0.0,2.84,0.353,519204.5662217811,110625.75976951483
E921,Park Farm,51.275499,0.095139,1.055,0.003,0.89,0.047,546236.5473509921,155012.49977642187
E9510,Ferring Outfall,50.803264,-0.452563,2.91,0.43,3.2,0.45,509138.5105808928,101552.73670351582
E9883,Alfoldean,51.086792,-0.406225,2.914,0.058,1.494,0.094,511722.53618356056,133149.61496194504
E9890,Drungewick,51.067869,-0.488686,16.6,13.14,15.4,13.35,505990.54280438955,130923.59681240295
E9920,Pulborough Swan Bridge,50.956335,-0.513508,4.783,0.0,3.713,0.669,504501.5258249554,118485.67703812227
E9941,Brewhurst Mill,51.069575,-0.509483,19.28,16.3,18.95,16.32,504529.57835170144,131083.61086642605
L2312,Park Bridge,54.408693,-2.177133,3.492,-0.1,2.5,0.0,388600.5626264219,501485.3268052188
L3211,Hessle,53.719075,-0.434087,3.854,0.419,3.0,0.6890000000000001,503431.5187251193,425878.54822742555
PCHURCH_TG_342,Peterchurch,52.041372,-2.955501,2.357,0.079,1.2,0.193,334560.5181899261,238539.2874300525
SE730,LENSIDE GS,51.272544,0.525902,2.066,0.05,1.25,0.151,576290.5415500988,155629.51106366373
E73839,Bangor,54.66475,-5.6694700000000005,2.066,0.05,1.25,0.151,163460.77306388313,536149.3634916994
E71639,Dover,51.114372,1.322641,2.066,0.05,1.25,0.151,632650.5288414675,140259.54233473807
E72339,St+Marys,49.91847,-6.31642,2.066,0.05,1.25,0.151,90269.00926347791,10965.633806161753
E70039,Lowestoft,52.473075,1.750085,2.066,0.05,1.25,0.151,654780.5175445942,292740.05593874585
E74439,Lerwick,60.15403,-1.14031,2.066,0.05,1.25,0.151,447829.2346108853,1141371.0159840062
E72239,Newlyn,50.103007,-5.542779,2.066,0.05,1.25,0.151,146759.54461641063,28558.985942108273
E73039,Milford+Haven,51.70739,-5.05153,2.066,0.05,1.25,0.151,189261.32165273637,205370.58055651002
E72039,Weymouth,50.608501,-2.447945,2.066,0.05,1.25,0.151,368399.55368214997,78849.81005285293
E72439,Ilfracombe,51.211131,-4.112362,2.066,0.05,1.25,0.151,252549.50952604468,147890.55978556312
E70339,Kinlochbervie,58.45661,-5.05008,2.066,0.05,1.25,0.151,222145.26618050036,956076.3661521183
E74339,Stornoway,58.20781,-6.3889700000000005,2.066,0.05,1.25,0.151,142280.25611817348,932736.0820509064
E72139,Plymouth,50.368401,-4.185217,2.066,0.05,1.25,0.151,244690.5346643902,54338.92021553484
E70239,Jersey,49.18333,-2.11667,2.066,0.05,1.25,0.151,391593.3288945882,-79698.24531391736
E70439,Ullapool,57.89525,-5.15789,2.066,0.05,1.25,0.151,212929.8343619753,893907.5772846623
E72839,Newport,51.55,-2.9874400000000003,2.066,0.05,1.25,0.151,331629.55359866214,183918.99086972827
E70639,Wick,58.44097,-3.08631,2.066,0.05,1.25,0.151,336679.76131066267,950808.5841087218
E72639,Avonmouth+Portbury,51.49999,-2.728468,2.066,0.05,1.25,0.151,349530.5190724098,178146.47227521733
E72939,Mumbles,51.57,-3.97544,2.066,0.05,1.25,0.151,263188.2784913335,187530.7164322138
E70839,Leith,55.98983,-3.18169,2.066,0.05,1.25,0.151,326379.5016377686,678059.6481077998
E70939,North+Shields,55.007415,-1.439769,2.066,0.05,1.25,0.151,435929.5238322514,568238.15271664
E70539,Holyhead,53.31394,-4.62044,2.066,0.05,1.25,0.151,225529.1822290893,382870.14028766286
E74039,Millport,55.74981,-4.9063300000000005,2.066,0.05,1.25,0.151,217690.95919532052,654541.4488276554
E71139,Immingham,53.63018,-0.18742,2.066,0.05,1.25,0.151,519959.54638221057,416376.64615874586
E71239,Cromer,52.934316,1.301623,2.066,0.05,1.25,0.151,621979.5648766293,342537.91700264934
E71039,Whitby,54.489967,-0.614597,2.066,0.05,1.25,0.151,489840.51808500197,511397.28954453755
E73139,Fishguard,52.01322,-4.983750000000001,2.066,0.05,1.25,0.151,195337.51222826936,239181.3906917261
E73539,Port+Erin,54.08539,-4.76806,2.066,0.05,1.25,0.151,219040.75112502553,469041.39417583216
E71439,Harwich,51.947978,1.292108,2.066,0.05,1.25,0.151,626340.5818186913,232840.21259752012
E73239,Barmouth,52.71933,-4.04503,2.066,0.05,1.25,0.151,261969.81587158376,315481.9541972638
E71739,Newhaven,50.781775,0.057004,2.066,0.05,1.25,0.151,545109.5786407868,100038.79675520452
E73939,Portrush,55.20678,-6.65683,2.066,0.05,1.25,0.151,103846.64531156684,600177.8953046729
E71539,Sheerness,51.445627,0.7434149999999999,2.066,0.05,1.25,0.151,590740.5186972861,175418.42999483238
E73739,Portpatrick,54.84256,-5.12003,2.066,0.05,1.25,0.151,199760.93860362555,554211.7161642687
E71839,Portsmouth,50.80228,-1.11117,2.066,0.05,1.25,0.151,462731.265440234,100678.71964154659
E71939,Bournemouth,50.714331,-1.874873,2.066,0.05,1.25,0.151,408930.52889609203,90529.72733540091
E70739,Aberdeen,57.14406,-2.07736,2.066,0.05,1.25,0.151,395417.5829338772,805910.1701802177
E74239,Tobermory,56.62311,-6.06422,2.066,0.05,1.25,0.151,150790.79396255407,755306.9352881131
E73339,Llandudno,53.33167,-3.82522,2.066,0.05,1.25,0.151,278549.2473671189,383193.35633552616
