easting,northing,predicted_risk,predicted_authority
316907,23216,3,Torbay
321907,23216,3,Torbay
326907,23216,3,Torbay
331907,23216,2,Torbay
336907,23216,2,Torbay
341907,23216,2,Teignbridge
346907,23216,2,Dorset
351907,23216,2,Dorset
356907,23216,2,Dorset
361907,23216,2,Dorset
366907,23216,2,Dorset
371907,23216,2,Dorset
376907,23216,2,Dorset
381907,23216,2,Dorset
386907,23216,1,Dorset
391907,23216,1,Dorset
396907,23216,1,Dorset
401907,23216,1,Dorset
406907,23216,1,Dorset
411907,23216,1,Dorset
416907,23216,1,Dorset
421907,23216,1,Dorset
426907,23216,1,Isle of Wight
431907,23216,1,Isle of Wight
436907,23216,1,Isle of Wight
441907,23216,1,Isle of Wight
446907,23216,1,Isle of Wight
451907,23216,1,Isle of Wight
456907,23216,1,Isle of Wight
461907,23216,1,Isle of Wight
466907,23216,1,Isle of Wight
471907,23216,1,Isle of Wight
476907,23216,1,Isle of Wight
481907,23216,1,Isle of Wight
486907,23216,1,Isle of Wight
491907,23216,1,Isle of Wight
496907,23216,1,Isle of Wight
501907,23216,1,Isle of Wight
506907,23216,1,Chichester
511907,23216,1,Chichester
516907,23216,1,Chichester
521907,23216,1,Chichester
526907,23216,4,Lewes
531907,23216,4,Wealden
536907,23216,4,Wealden
541907,23216,3,Eastbourne
546907,23216,2,Eastbourne
551907,23216,2,Eastbourne
556907,23216,2,Eastbourne
561907,23216,2,Eastbourne
566907,23216,2,Eastbourne
571907,23216,2,Eastbourne
576907,23216,2,Eastbourne
581907,23216,2,Eastbourne
586907,23216,2,Eastbourne
591907,23216,2,Eastbourne
596907,23216,2,Eastbourne
601907,23216,2,Eastbourne
606907,23216,2,Eastbourne
611907,23216,2,Eastbourne
616907,23216,1,Hastings
621907,23216,1,Folkestone and Hythe
626907,23216,1,Folkestone and Hythe
631907,23216,2,Folkestone and Hythe
636907,23216,2,Folkestone and Hythe
641907,23216,2,Folkestone and Hythe
86907,28216,1,Isles of Scilly
91907,28216,1,Isles of Scilly
96907,28216,1,Isles of Scilly
101907,28216,1,Isles of Scilly
106907,28216,1,Isles of Scilly
111907,28216,1,Cornwall
116907,28216,1,Cornwall
121907,28216,1,Cornwall
126907,28216,1,Cornwall
131907,28216,2,Cornwall
136907,28216,2,Cornwall
141907,28216,1,Cornwall
146907,28216,1,Cornwall
151907,28216,1,Cornwall
156907,28216,2,Cornwall
161907,28216,1,Cornwall
166907,28216,1,Cornwall
171907,28216,1,Cornwall
176907,28216,1,Cornwall
181907,28216,1,Cornwall
186907,28216,1,Cornwall
191907,28216,2,Cornwall
196907,28216,3,Cornwall
201907,28216,3,Cornwall
206907,28216,3,Cornwall
211907,28216,3,Cornwall
216907,28216,3,Cornwall
221907,28216,4,Cornwall
226907,28216,4,Cornwall
231907,28216,3,Cornwall
236907,28216,4,Cornwall
241907,28216,4,Cornwall
246907,28216,4,Cornwall
251907,28216,4,Cornwall
256907,28216,3,South Hams
261907,28216,3,South Hams
266907,28216,3,South Hams
271907,28216,3,South Hams
276907,28216,2,South Hams
281907,28216,2,South Hams
286907,28216,3,South Hams
291907,28216,1,South Hams
296907,28216,1,South Hams
301907,28216,2,South Hams
306907,28216,3,South Hams
311907,28216,2,Torbay
316907,28216,3,Torbay
321907,28216,3,Torbay
326907,28216,2,Torbay
331907,28216,2,Torbay
336907,28216,2,Teignbridge
341907,28216,2,East Devon
346907,28216,2,Dorset
351907,28216,2,Dorset
356907,28216,2,Dorset
361907,28216,2,Dorset
366907,28216,2,Dorset
371907,28216,2,Dorset
376907,28216,2,Dorset
381907,28216,2,Dorset
386907,28216,1,Dorset
391907,28216,1,Dorset
396907,28216,1,Dorset
401907,28216,1,Dorset
406907,28216,1,Dorset
411907,28216,1,Dorset
416907,28216,1,Dorset
421907,28216,1,Dorset
426907,28216,1,Isle of Wight
431907,28216,1,Isle of Wight
436907,28216,1,Isle of Wight
441907,28216,1,Isle of Wight
446907,28216,1,Isle of Wight
451907,28216,1,Isle of Wight
456907,28216,1,Isle of Wight
461907,28216,1,Isle of Wight
466907,28216,1,Isle of Wight
471907,28216,1,Isle of Wight
476907,28216,1,Isle of Wight
481907,28216,1,Isle of Wight
486907,28216,1,Isle of Wight
491907,28216,1,Isle of Wight
496907,28216,1,Isle of Wight
501907,28216,1,Chichester
506907,28216,1,Chichester
511907,28216,1,Chichester
516907,28216,1,Chichester
521907,28216,1,Chichester
526907,28216,5,Lewes
531907,28216,4,Wealden
536907,28216,4,Wealden
541907,28216,3,Eastbourne
546907,28216,2,Eastbourne
551907,28216,2,Eastbourne
556907,28216,2,Eastbourne
561907,28216,2,Eastbourne
566907,28216,2,Eastbourne
571907,28216,2,Eastbourne
576907,28216,2,Eastbourne
581907,28216,2,Eastbourne
586907,28216,2,Eastbourne
591907,28216,2,Eastbourne
596907,28216,2,Eastbourne
601907,28216,2,Eastbourne
606907,28216,2,Eastbourne
611907,28216,2,Eastbourne
616907,28216,1,Hastings
621907,28216,1,Folkestone and Hythe
626907,28216,2,Folkestone and Hythe
631907,28216,2,Folkestone and Hythe
636907,28216,2,Folkestone and Hythe
641907,28216,2,Folkestone and Hythe
86907,33216,1,Isles of Scilly
91907,33216,1,Isles of Scilly
96907,33216,1,Isles of Scilly
101907,33216,1,Isles of Scilly
106907,33216,1,Isles of Scilly
111907,33216,1,Cornwall
116907,33216,1,Cornwall
121907,33216,1,Cornwall
126907,33216,1,Cornwall
131907,33216,1,Cornwall
136907,33216,1,Cornwall
141907,33216,1,Cornwall
146907,33216,3,Cornwall
151907,33216,3,Cornwall
156907,33216,1,Cornwall
161907,33216,1,Cornwall
166907,33216,2,Cornwall
171907,33216,1,Cornwall
176907,33216,1,Cornwall
181907,33216,2,Cornwall
186907,33216,2,Cornwall
191907,33216,2,Cornwall
196907,33216,3,Cornwall
201907,33216,3,Cornwall
206907,33216,3,Cornwall
211907,33216,3,Cornwall
216907,33216,2,Cornwall
221907,33216,4,Cornwall
226907,33216,4,Cornwall
231907,33216,2,Cornwall
236907,33216,3,Cornwall
241907,33216,4,Cornwall
246907,33216,4,Cornwall
251907,33216,4,Cornwall
256907,33216,2,South Hams
261907,33216,3,South Hams
266907,33216,3,South Hams
271907,33216,3,South Hams
276907,33216,2,South Hams
281907,33216,3,South Hams
286907,33216,2,South Hams
291907,33216,1,South Hams
296907,33216,1,South Hams
301907,33216,2,South Hams
306907,33216,3,Torbay
311907,33216,3,Torbay
316907,33216,3,Torbay
321907,33216,3,Torbay
326907,33216,2,Torbay
331907,33216,2,Teignbridge
336907,33216,1,East Devon
341907,33216,3,East Devon
346907,33216,2,Dorset
351907,33216,2,Dorset
356907,33216,2,Dorset
361907,33216,2,Dorset
366907,33216,2,Dorset
371907,33216,2,Dorset
376907,33216,2,Dorset
381907,33216,2,Dorset
386907,33216,1,Dorset
391907,33216,1,Dorset
396907,33216,1,Dorset
401907,33216,1,Dorset
406907,33216,1,Dorset
411907,33216,1,Dorset
416907,33216,1,Dorset
421907,33216,1,Dorset
426907,33216,1,Isle of Wight
431907,33216,1,Isle of Wight
436907,33216,1,Isle of Wight
441907,33216,1,Isle of Wight
446907,33216,1,Isle of Wight
451907,33216,1,Isle of Wight
456907,33216,1,Isle of Wight
461907,33216,1,Isle of Wight
466907,33216,1,Isle of Wight
471907,33216,1,Isle of Wight
476907,33216,1,Isle of Wight
481907,33216,1,Isle of Wight
486907,33216,1,Isle of Wight
491907,33216,1,Isle of Wight
496907,33216,1,Isle of Wight
501907,33216,1,Chichester
506907,33216,1,Chichester
511907,33216,1,Chichester
516907,33216,1,Chichester
521907,33216,2,Chichester
526907,33216,5,Lewes
531907,33216,4,Wealden
536907,33216,4,Wealden
541907,33216,3,Eastbourne
546907,33216,2,Eastbourne
551907,33216,2,Eastbourne
556907,33216,2,Eastbourne
561907,33216,2,Eastbourne
566907,33216,2,Eastbourne
571907,33216,2,Eastbourne
576907,33216,2,Eastbourne
581907,33216,2,Eastbourne
586907,33216,2,Eastbourne
591907,33216,2,Eastbourne
596907,33216,2,Eastbourne
601907,33216,2,Eastbourne
606907,33216,2,Eastbourne
611907,33216,1,Hastings
616907,33216,1,Rother
621907,33216,1,Folkestone and Hythe
626907,33216,2,Folkestone and Hythe
631907,33216,2,Folkestone and Hythe
636907,33216,2,Folkestone and Hythe
641907,33216,2,Folkestone and Hythe
86907,38216,1,Isles of Scilly
91907,38216,1,Isles of Scilly
96907,38216,1,Isles of Scilly
101907,38216,1,Isles of Scilly
106907,38216,1,Isles of Scilly
111907,38216,1,Cornwall
116907,38216,1,Cornwall
121907,38216,1,Cornwall
126907,38216,1,Cornwall
131907,38216,1,Cornwall
136907,38216,1,Cornwall
141907,38216,1,Cornwall
146907,38216,1,Cornwall
151907,38216,3,Cornwall
156907,38216,3,Cornwall
161907,38216,2,Cornwall
166907,38216,1,Cornwall
171907,38216,1,Cornwall
176907,38216,1,Cornwall
181907,38216,1,Cornwall
186907,38216,2,Cornwall
191907,38216,3,Cornwall
196907,38216,3,Cornwall
201907,38216,3,Cornwall
206907,38216,3,Cornwall
211907,38216,3,Cornwall
216907,38216,3,Cornwall
221907,38216,4,Cornwall
226907,38216,4,Cornwall
231907,38216,1,Cornwall
236907,38216,3,Cornwall
241907,38216,4,Cornwall
246907,38216,4,Cornwall
251907,38216,4,Cornwall
256907,38216,2,South Hams
261907,38216,3,South Hams
266907,38216,3,South Hams
271907,38216,3,South Hams
276907,38216,3,South Hams
281907,38216,2,South Hams
286907,38216,1,South Hams
291907,38216,1,South Hams
296907,38216,2,South Hams
301907,38216,3,South Hams
306907,38216,3,Torbay
311907,38216,3,Torbay
316907,38216,3,Torbay
321907,38216,2,Torbay
326907,38216,2,Teignbridge
331907,38216,2,Teignbridge
336907,38216,2,East Devon
341907,38216,4,East Devon
346907,38216,2,Dorset
351907,38216,2,Dorset
356907,38216,2,Dorset
361907,38216,2,Dorset
366907,38216,2,Dorset
371907,38216,2,Dorset
376907,38216,2,Dorset
381907,38216,2,Dorset
386907,38216,1,Dorset
391907,38216,1,Dorset
396907,38216,1,Dorset
401907,38216,1,Dorset
406907,38216,1,Dorset
411907,38216,1,Dorset
416907,38216,1,Dorset
421907,38216,1,Dorset
426907,38216,1,Isle of Wight
431907,38216,1,Isle of Wight
436907,38216,1,Isle of Wight
441907,38216,1,Isle of Wight
446907,38216,1,Isle of Wight
451907,38216,1,Isle of Wight
456907,38216,1,Isle of Wight
461907,38216,1,Isle of Wight
466907,38216,1,Isle of Wight
471907,38216,1,Isle of Wight
476907,38216,1,Isle of Wight
481907,38216,1,Isle of Wight
486907,38216,1,Isle of Wight
491907,38216,1,Isle of Wight
496907,38216,1,Chichester
501907,38216,1,Chichester
506907,38216,1,Chichester
511907,38216,1,Chichester
516907,38216,1,Chichester
521907,38216,3,Worthing
526907,38216,4,Lewes
531907,38216,5,Lewes
536907,38216,4,Wealden
541907,38216,3,Wealden
546907,38216,2,Eastbourne
551907,38216,1,Eastbourne
556907,38216,2,Eastbourne
561907,38216,2,Eastbourne
566907,38216,2,Eastbourne
571907,38216,2,Eastbourne
576907,38216,2,Eastbourne
581907,38216,2,Eastbourne
586907,38216,2,Eastbourne
591907,38216,2,Eastbourne
596907,38216,2,Eastbourne
601907,38216,2,Eastbourne
606907,38216,1,Eastbourne
611907,38216,1,Hastings
616907,38216,1,Rother
621907,38216,2,Folkestone and Hythe
626907,38216,2,Folkestone and Hythe
631907,38216,2,Folkestone and Hythe
636907,38216,2,Folkestone and Hythe
641907,38216,2,Folkestone and Hythe
86907,43216,1,Isles of Scilly
91907,43216,1,Isles of Scilly
96907,43216,1,Isles of Scilly
101907,43216,1,Isles of Scilly
106907,43216,1,Cornwall
111907,43216,1,Cornwall
116907,43216,1,Cornwall
121907,43216,1,Cornwall
126907,43216,1,Cornwall
131907,43216,1,Cornwall
136907,43216,1,Cornwall
141907,43216,1,Cornwall
146907,43216,2,Cornwall
151907,43216,1,Cornwall
156907,43216,2,Cornwall
161907,43216,1,Cornwall
166907,43216,2,Cornwall
171907,43216,2,Cornwall
176907,43216,2,Cornwall
181907,43216,1,Cornwall
186907,43216,1,Cornwall
191907,43216,2,Cornwall
196907,43216,2,Cornwall
201907,43216,2,Cornwall
206907,43216,2,Cornwall
211907,43216,1,Cornwall
216907,43216,3,Cornwall
221907,43216,4,Cornwall
226907,43216,3,Cornwall
231907,43216,1,Cornwall
236907,43216,3,Cornwall
241907,43216,4,Cornwall
246907,43216,4,Cornwall
251907,43216,4,Cornwall
256907,43216,2,South Hams
261907,43216,3,South Hams
266907,43216,3,South Hams
271907,43216,2,South Hams
276907,43216,2,South Hams
281907,43216,1,South Hams
286907,43216,1,South Hams
291907,43216,2,South Hams
296907,43216,2,South Hams
301907,43216,3,Torbay
306907,43216,3,Torbay
311907,43216,3,Torbay
316907,43216,2,Torbay
321907,43216,2,Teignbridge
326907,43216,3,Teignbridge
331907,43216,1,East Devon
336907,43216,2,East Devon
341907,43216,4,East Devon
346907,43216,4,Dorset
351907,43216,2,Dorset
356907,43216,2,Dorset
361907,43216,2,Dorset
366907,43216,2,Dorset
371907,43216,2,Dorset
376907,43216,2,Dorset
381907,43216,2,Dorset
386907,43216,1,Dorset
391907,43216,1,Dorset
396907,43216,1,Dorset
401907,43216,1,Dorset
406907,43216,1,Dorset
411907,43216,1,Dorset
416907,43216,1,Dorset
421907,43216,1,Dorset
426907,43216,1,Isle of Wight
431907,43216,1,Isle of Wight
436907,43216,1,Isle of Wight
441907,43216,1,Isle of Wight
446907,43216,1,Isle of Wight
451907,43216,1,Isle of Wight
456907,43216,1,Isle of Wight
461907,43216,1,Isle of Wight
466907,43216,1,Isle of Wight
471907,43216,1,Isle of Wight
476907,43216,1,Isle of Wight
481907,43216,1,Isle of Wight
486907,43216,1,Isle of Wight
491907,43216,1,Isle of Wight
496907,43216,1,Chichester
501907,43216,1,Chichester
506907,43216,1,Chichester
511907,43216,1,Chichester
516907,43216,1,Chichester
521907,43216,3,Worthing
526907,43216,2,Lewes
531907,43216,5,Lewes
536907,43216,4,Wealden
541907,43216,3,Wealden
546907,43216,2,Eastbourne
551907,43216,1,Eastbourne
556907,43216,2,Eastbourne
561907,43216,2,Eastbourne
566907,43216,2,Eastbourne
571907,43216,2,Eastbourne
576907,43216,2,Eastbourne
581907,43216,2,Eastbourne
586907,43216,2,Eastbourne
591907,43216,2,Eastbourne
596907,43216,2,Eastbourne
601907,43216,2,Eastbourne
606907,43216,1,Hastings
611907,43216,1,Rother
616907,43216,1,Folkestone and Hythe
621907,43216,2,Folkestone and Hythe
626907,43216,2,Folkestone and Hythe
631907,43216,2,Folkestone and Hythe
636907,43216,2,Folkestone and Hythe
641907,43216,2,Folkestone and Hythe
86907,48216,1,Isles of Scilly
91907,48216,1,Isles of Scilly
96907,48216,1,Isles of Scilly
101907,48216,1,Isles of Scilly
106907,48216,1,Cornwall
111907,48216,1,Cornwall
116907,48216,1,Cornwall
121907,48216,1,Cornwall
126907,48216,1,Cornwall
131907,48216,1,Cornwall
136907,48216,1,Cornwall
141907,48216,1,Cornwall
146907,48216,1,Cornwall
151907,48216,1,Cornwall
156907,48216,1,Cornwall
161907,48216,5,Cornwall
166907,48216,6,Cornwall
171907,48216,2,Cornwall
176907,48216,2,Cornwall
181907,48216,1,Cornwall
186907,48216,1,Cornwall
191907,48216,1,Cornwall
196907,48216,2,Cornwall
201907,48216,4,Cornwall
206907,48216,1,Cornwall
211907,48216,1,Cornwall
216907,48216,2,Cornwall
221907,48216,4,Cornwall
226907,48216,4,Cornwall
231907,48216,2,Cornwall
236907,48216,1,Cornwall
241907,48216,3,Cornwall
246907,48216,4,Cornwall
251907,48216,4,Cornwall
256907,48216,1,South Hams
261907,48216,2,South Hams
266907,48216,3,South Hams
271907,48216,2,South Hams
276907,48216,2,South Hams
281907,48216,1,South Hams
286907,48216,1,South Hams
291907,48216,2,South Hams
296907,48216,3,South Hams
301907,48216,3,Torbay
306907,48216,3,Torbay
311907,48216,2,Torbay
316907,48216,2,Teignbridge
321907,48216,3,Teignbridge
326907,48216,4,Teignbridge
331907,48216,1,East Devon
336907,48216,3,East Devon
341907,48216,5,East Devon
346907,48216,5,East Devon
351907,48216,2,Dorset
356907,48216,2,Dorset
361907,48216,2,Dorset
366907,48216,2,Dorset
371907,48216,2,Dorset
376907,48216,2,Dorset
381907,48216,2,Dorset
386907,48216,2,Dorset
391907,48216,1,Dorset
396907,48216,1,Dorset
401907,48216,1,Dorset
406907,48216,1,Dorset
411907,48216,1,Dorset
416907,48216,1,Dorset
421907,48216,1,Dorset
426907,48216,1,Isle of Wight
431907,48216,1,Isle of Wight
436907,48216,1,Isle of Wight
441907,48216,1,Isle of Wight
446907,48216,1,Isle of Wight
451907,48216,1,Isle of Wight
