postcodeDistrict,catsPerHousehold,dogsPerHousehold,pre_1900,1900_1929,1930_1945,1945_1964,1965_1982,1983_1999,2000_present,unknown
B1,0.070297232,0.080618344,0.028871358702227224,0.022822251149269637,0.000203858723947431,0.003131856170039939,0.22375497245965378,0.08562288373474011,0.6198542372242336,0.015738581835888187
B10,0.076656292,0.087911047,0.3841498619507686,0.29869535939071085,0.025407346534450818,0.02751288671731177,0.1244425070475488,0.11371151339598046,0.011759263660730827,0.014321261302497744
B11,0.107417123,0.123188215,0.42682428870276407,0.30110599960546836,0.03473384660801359,0.03880832044330364,0.08282263876403803,0.06531543529535673,0.025657606265651355,0.024731864315404212
B12,0.085244762,0.097760486,0.3592315391798488,0.10824519332127622,0.008303310869174674,0.08487120344471086,0.1967511330464339,0.11056307529828684,0.08727338341505195,0.04476116142521676
B13,0.104947225,0.120355684,0.1782608219611723,0.27693795147168854,0.14715065130508298,0.08467349879151147,0.14660801162806256,0.07023092161898108,0.0670164309680328,0.029121712255468293
B14,0.153964707,0.176569962,0.11605380631494613,0.2146031682240333,0.19553141910991145,0.11287468552481664,0.2291908381405458,0.038336531872446955,0.0747594043522247,0.018650146461074976
B15,0.10834237,0.124249308,0.09515039452154636,0.03870328084288984,0.04128007598880182,0.1623877469837278,0.3631218409377932,0.07408789455971442,0.1789938459631317,0.046274920202394834
B16,0.100592352,0.115361424,0.19112515020761178,0.0504874850478779,0.021442106676440576,0.1543421302788256,0.43310397899458075,0.049159069775020256,0.07545539593516544,0.024884683084477728
B17,0.161067351,0.184715424,0.15908110390970231,0.24162123881356537,0.17915661611231237,0.11002173313589952,0.16705306995549954,0.05045112402336835,0.07133634946718807,0.021278764582464457
B18,0.094166413,0.107992023,0.2558124864578304,0.10315679980359543,0.005389998281351962,0.00481339489457816,0.1957613236580913,0.05682452176385384,0.34080181585933855,0.03743965928136037
B19,0.033513893,0.038434437,0.23534734661792875,0.04449995883705212,0.008953863245416147,0.09109916140957805,0.29615965607856204,0.0918537298447558,0.1953082718853121,0.03677801208139501
B2,0.12773665,0.146491076,0.0546107770793071,0.06741476736881248,0.0006735956597275136,0.0006753763499230335,0.40818959924525083,0.051400778966128144,0.40851816587584666,0.008516939455004195
B20,0.042826451,0.049114275,0.25233952621444355,0.2165495467712307,0.16396412950614328,0.12558122623375936,0.14298467451528896,0.04383431024449937,0.023882715415489093,0.0308638710991457
B21,0.050295624,0.057680079,0.426125020370643,0.2906421850271363,0.06783525907654545,0.022159376767214953,0.0964742691291582,0.06824078932346042,0.012533460774054003,0.01598963953178777
B23,0.125224544,0.143610139,0.17158344307529835,0.2961217805000233,0.11834328524042863,0.0870952523827189,0.13793624242173427,0.10788065646350688,0.06566451284926317,0.015374827067026546
B24,0.149743808,0.171729347,0.09186409435395676,0.35135584371457235,0.16287599812219164,0.08340695161255751,0.10396504021146351,0.11837589252422623,0.07357576312676505,0.01458041633426687
B25,0.161494219,0.185204966,0.21573978881085124,0.39981815813991906,0.16477727788284158,0.04146442464608268,0.1070163906164611,0.044350952157074554,0.015122773233317375,0.011710234513452421
B26,0.143429092,0.164487498,0.030962001080983362,0.10562699647736727,0.4253319473646114,0.25750323300109956,0.09486236820243749,0.041102434709557115,0.036288679615590104,0.008322339548353666
B27,0.301264176,0.345496091,0.11835902783010793,0.38890017919598535,0.1765756225091723,0.06990953670496589,0.08606809586923989,0.10360470354148911,0.03827250544359849,0.018310328905441067
B28,0.202314854,0.232018928,0.009807658076157301,0.3480083615021944,0.44570059434374076,0.05390030224697325,0.05058653769812199,0.044765189201127695,0.026160500386103347,0.021070856545581274
B29,0.112884754,0.129458609,0.134736409141727,0.3060610631779686,0.12299691047488451,0.13179786256713305,0.10551823964125642,0.062457949565045544,0.12909284158275555,0.007338723849229307
B3,0.083367874,0.09560803,0.06868548076152037,0.0593552696305764,0.0008869992770147328,0.000889174551969487,0.12656997085118427,0.05587397984604263,0.6747532590910237,0.012985865990668371
B30,0.119464176,0.137004028,0.1836341316698389,0.2980022975306744,0.10219517954111104,0.12903076222371654,0.12878707883401713,0.08210269004751045,0.036425316767800135,0.03982254338533141
B31,0.160655572,0.184243188,0.018518821843162486,0.13409174408501745,0.1807561302940775,0.25358584623174424,0.1642865879840599,0.11289746545173887,0.12788217091631437,0.007981233193885159
B32,0.135815188,0.155755713,0.010666482115007384,0.042922665515053214,0.33438060036511646,0.26335219462938914,0.2703014070124429,0.04513561792998648,0.02274531678883005,0.010495715644174508
B33,0.141946571,0.162787311,0.02667442319389266,0.07171766294519817,0.26995490188434296,0.3076961770239968,0.18360049719897137,0.06835104397713897,0.06681645941289963,0.005188834363559441
B34,0.117742386,0.135029444,0.0012784917484379708,0.013468408113504415,0.16764669323013057,0.4900260078411696,0.16290402931833156,0.05291145944289111,0.11018676353922069,0.0015781467663140692
B35,0.173241757,0.198677289,0.00021040948284206657,0.013615085978120368,0.0004108116231369249,0.07237719014640835,0.5353581230390444,0.20490192520541126,0.16512560607320848,0.008000848451828047
B36,0.136006762,0.155975414,0.0029681238405974203,0.015551319520291538,0.15095721181616256,0.22806030576732766,0.47384502633438386,0.0725079467575794,0.049107692674279016,0.007002373289378588
B37,0.248942921,0.285492976,0.005324364158553462,0.022423085160490325,0.025894110436189763,0.12953403348350304,0.6472093207067969,0.06966245590685545,0.09158519017886305,0.008367439968748017
B38,0.151080875,0.173262724,0.04245788872808163,0.05167641656129536,0.1292367827875043,0.2205069496101382,0.41096167593261484,0.061943035905398694,0.06566787537881583,0.01754937509615106
B4,0.054350549,0.062330352,0.043735836071559016,0.04468631716343305,0.011493608211192404,0.03173790830512336,0.20037236991625293,0.040372464803106654,0.6092815996176948,0.018319895911637917
B40,1.165093703,1.336153953,0.04767063921993499,0.14301191765980498,0.05958829902491873,0.1789831185695735,0.3045450004994506,0.07071759526059794,0.17142988866093448,0.02405354110478473
B42,0.134968266,0.154784444,0.014269559791901315,0.07093297963362304,0.6723837844756961,0.10071292875533505,0.0807888379664145,0.028370534695094336,0.025364848224257292,0.00717652645767837
B43,0.256355265,0.293993607,0.006515257254511167,0.0429883499626653,0.24027817341832688,0.44347777254029,0.18920336831512302,0.02393252068007818,0.05176194310441108,0.001842614724594327
B44,0.195511907,0.224217165,0.003681696617633644,0.2259808564140388,0.5228123164126228,0.12369383442167754,0.05907361390008769,0.03790049787751473,0.01561629048481218,0.011240893871612548
B45,0.232416132,0.266539706,0.024911187227469975,0.08801090025728128,0.17497958251162468,0.19843895790060037,0.24521944126919706,0.11477176736263657,0.13769184788014396,0.01597631559104605
B46,0.664613501,0.762192735,0.12167622150539543,0.0563227075113021,0.07781701229418313,0.297639242809937,0.22569484946695617,0.11656375099626395,0.0705750244070706,0.03371119100889166
B47,0.576984401,0.661697842,0.04751530810615784,0.0794568646321015,0.11861298820175817,0.24872337945268427,0.24946099116131523,0.16607698112247085,0.07297133205534627,0.017182155268165876
B48,0.577957231,0.662813503,0.1445138830364597,0.06591228798564153,0.15126385340008178,0.2010310442924488,0.13178669030230197,0.13949920428111254,0.13634000997272577,0.029653026729227955
B49,0.519712763,0.596017522,0.22664130078086253,0.03353339634693819,0.034862886648529295,0.1790415073176925,0.2178375045201436,0.19750353094978737,0.08667317295869142,0.023906700477355103
B5,0.077484299,0.088860623,0.06051466483129081,0.028263518834064933,0.021952835297668602,0.08164411798472172,0.16167758145053646,0.05614066108121302,0.5535725307673391,0.036234089753165305
B50,0.523992766,0.60092592,0.1498010457333748,0.062005907469333515,0.031928094448403554,0.1297207858441782,0.15892138812045295,0.2724070247887587,0.17979305833023515,0.015422695265263147
