dateTime,stationReference,parameter,qualifier,unitName,value
2021-10-10T00:00:00Z,0744SE,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,074924,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,075233,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,076204,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,076413,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,077066,rainfall,Tipping Bucket Raingauge,mm,0.2
2021-10-10T00:00:00Z,077256,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,077336,rainfall,Tipping Bucket Raingauge,mm,0.2
2021-10-10T00:00:00Z,077800,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,077836,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,077952,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,078530,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,078772,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,078922,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0790TH,level,Stage,mASD,0.087
2021-10-10T00:00:00Z,079621,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,080282,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,082509,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,082672,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,082732,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,083280,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,083534,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,084532,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,085322,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,085960,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,086575,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0890TH,level,Stage,mASD,0.061
2021-10-10T00:00:00Z,0898TH,level,Stage,mASD,0.087
2021-10-10T00:00:00Z,0901TH,level,Stage,mASD,0.168
2021-10-10T00:00:00Z,0902TH,level,Stage,mASD,0.125
2021-10-10T00:00:00Z,0903TH,level,Stage,mASD,0.111
2021-10-10T00:00:00Z,0904SO,level,Stage,mASD,0.888
2021-10-10T00:00:00Z,0904TH,level,Stage,mASD,0.235
2021-10-10T00:00:00Z,0911TH,level,Stage,mASD,0.637
2021-10-10T00:00:00Z,0913TH,level,Stage,mASD,0.927
2021-10-10T00:00:00Z,0924SE,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0925SE,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1003SO,level,Stage,mASD,0.394
2021-10-10T00:00:00Z,1020TH,level,Stage,mASD,0.115
2021-10-10T00:00:00Z,1023SE,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1029TH,level,Stage,mASD,0.108
2021-10-10T00:00:00Z,1040,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1045,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1080TH,level,Stage,mASD,0.328
2021-10-10T00:00:00Z,1082,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1082TH,level,Stage,mASD,0.584
2021-10-10T00:00:00Z,1086,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1087,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1090_w1TH,level,Stage,mASD,0.219
2021-10-10T00:00:00Z,1090_w2TH,level,Stage,mASD,0.053
2021-10-10T00:00:00Z,1099TH,level,Stage,mASD,0.09
2021-10-10T00:00:00Z,1100TH,level,Stage,mASD,0.881
2021-10-10T00:00:00Z,1102TH,level,Stage,mASD,0.176
2021-10-10T00:00:00Z,1112,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1113,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1113SO,level,Stage,mASD,0.317
2021-10-10T00:00:00Z,1119,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1121,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1140,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1141,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1155,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1165,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1201,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1201TH,level,Stage,mASD,0.111
2021-10-10T00:00:00Z,1208TH,level,Stage,mASD,0.109
2021-10-10T00:00:00Z,1210TH,level,Stage,mASD,0.456
2021-10-10T00:00:00Z,1236TH,level,Stage,mASD,0.053
2021-10-10T00:00:00Z,1238TH,level,Stage,mASD,0.718
2021-10-10T00:00:00Z,1285SO,level,Stage,mASD,0.061
2021-10-10T00:00:00Z,1289TH,level,Stage,mASD,0.078
2021-10-10T00:00:00Z,1290_w1TH,level,Stage,mASD,0.188
2021-10-10T00:00:00Z,1290_w2TH,level,Stage,mASD,0.243
2021-10-10T00:00:00Z,1301TH,level,Stage,mASD,0.138
2021-10-10T00:00:00Z,1302TH,level,Stage,mASD,0.071
2021-10-10T00:00:00Z,1303TH,level,Stage,mASD,-0.026
2021-10-10T00:00:00Z,1331,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1332,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1335,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1339,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1387,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1408TH,level,Stage,mASD,0.926
2021-10-10T00:00:00Z,1409,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1412,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1413,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,1414TH,level,Stage,mASD,1.035
2021-10-10T00:00:00Z,1415TH,level,Stage,mASD,1.129
