dateTime,stationReference,parameter,qualifier,unitName,value
2023-10-20T13:30:00Z,3225TH,level,Stage,mASD,0.735
2023-10-20T13:30:00Z,056505,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,475212_TG_354,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E10130,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,2469_w2TH,level,Downstream Stage,mASD,0.888
2023-10-20T13:30:00Z,E23956,level,Stage,mASD,1.795
2023-10-20T13:30:00Z,3230TH,level,Stage,mASD,1.462
2023-10-20T13:30:00Z,1922TH,level,Stage,mASD,0.379
2023-10-20T13:30:00Z,E5080,level,Stage,mASD,0.159
2023-10-20T13:30:00Z,0904SO,level,Stage,mASD,2.234
2023-10-20T13:30:00Z,3629,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,559100R,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,010660,rainfall,Tipping Bucket Raingauge,mm,0.4
2023-10-20T13:30:00Z,2859TH,level,Stage,mASD,0.170
2023-10-20T13:30:00Z,E3401,level,Stage,mASD,0.063
2023-10-20T13:30:00Z,E2050,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,579167,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,1761,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,4026,level,Stage,mASD,1.176
2023-10-20T13:30:00Z,4080,level,Stage,mASD,1.503
2023-10-20T13:30:00Z,567866,rainfall,Tipping Bucket Raingauge,mm,0.1
2023-10-20T13:30:00Z,2887TH,level,Stage,mASD,0.819
2023-10-20T13:30:00Z,1904TH,level,Stage,mASD,1.347
2023-10-20T13:30:00Z,4147,level,Stage,mASD,1.488
2023-10-20T13:30:00Z,E1815,rainfall,Tipping Bucket Raingauge,mm,0.000
2023-10-20T13:30:00Z,2616,level,Stage,mASD,5.404
2023-10-20T13:30:00Z,019271,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E1675,level,Stage,mASD,1.108
2023-10-20T13:30:00Z,43103,rainfall,Tipping Bucket Raingauge,mm,0.000
2023-10-20T13:30:00Z,E14850,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,3026,rainfall,Tipping Bucket Raingauge,mm,0.4
